LOCAL;label
6266010;ARROYO DE LA CRUZ
6266020;CAPILLA DEL SE�OR
6266030;DIEGO GAYNOR
6266040;LOS CARDALES
6266050;PARADA ORLANDO
6266060;PARADA ROBLES - PAVON
6270000;ZONA RURAL
6270010;EZEIZA
6274010;FLORENCIO VARELA
6277000;ZONA RURAL
6277010;BLAQUIER
6277020;FLORENTINO AMEGHINO
6277030;PORVENIR
6280000;ZONA RURAL
6280005;CENTINELA DEL MAR
6280010;COMANDANTE NICANOR OTAMENDI
6280020;MAR DEL SUR
6280030;MECHONGUE
6280040;MIRAMAR
6287000;ZONA RURAL
6287010;GENERAL ALVEAR
6294000;ZONA RURAL
6294010;ARRIBE�OS
6294020;ASCENSION
6294030;ESTACION ARENALES
6294040;FERRE
6294050;GENERAL ARENALES
6294060;LA ANGELITA
6294070;LA TRINIDAD
6301000;ZONA RURAL
6301010;GENERAL BELGRANO
6301020;GORCHS
6308000;ZONA RURAL
6308010;GENERAL GUIDO
6308020;LABARDEN
6315000;ZONA RURAL
6315010;GENERAL JUAN  MADARIAGA
6322000;ZONA RURAL
6322010;GENERAL LA MADRID
6322020;LA COLINA
6322030;LAS MARTINETAS
6322040;LIBANO
6322050;PONTAUT
6329000;ZONA RURAL
6329010;GENERAL HORNOS
6329020;GENERAL LAS HERAS
6329030;LA CHOZA
6329050;PLOMER
6329060;VILLARS
6336000;ZONA RURAL
6336020;GENERAL LAVALLE
6336030;PAVON
6343000;ZONA RURAL
6343010;BARRIO RIO SALADO
6343020;LOMA VERDE
6343030;RANCHOS
6343040;VILLANUEVA
6351000;ZONA RURAL
6351010;COLONIA SAN RICARDO
6351020;GENERAL PINTO
6351030;GERMANIA
6351035;GUNTHER
6351040;VILLA FRANCIA
6351050;VILLA ROTH
6357000;ZONA RURAL
6357020;BARRIO EL BOQUERON
6357050;BARRIO LA GLORIA
6357060;BARRIO SANTA PAULA
6357070;BATAN
6357080;CHAPADMALAL
6357090;EL MARQUESADO
6357100;ESTACION CHAPADMALAL
6357110;MAR DEL PLATA
6357120;SIERRA DE LOS PADRES
6364000;ZONA RURAL
6364030;GENERAL RODRIGUEZ
6371010;GENERAL SAN MARTIN
6385000;ZONA RURAL
6385010;BAIGORRITA
6385020;LA DELFINA
6385030;LOS TOLDOS
6385040;SAN EMILIO
6385050;ZAVALIA
6392000;ZONA RURAL
6392010;BANDERALO
6392020;CA�ADA SECA
6392030;CORONEL CHARLONE
6392040;EMILIO V. BUNGE
6392050;GENERAL VILLEGAS
6392060;MASSEY
6392070;PICHINCHA
6392080;PIEDRITAS
6392090;SANTA ELEODORA
6392100;SANTA REGINA
6392110;VILLA SABOYA
6392120;VILLA SAUZE
6399000;ZONA RURAL
6399010;ARROYO VENADO
6399020;CASBAS
6399030;GARRE
6399040;GUAMINI
6399050;LAGUNA ALSINA
6406000;ZONA RURAL
6406010;HENDERSON
6406020;HERRERA VEGAS
6408010;HURLINGHAM
6410010;ITUZAINGO
6412010;JOSE C. PAZ
6413000;ZONA RURAL
6413010;AGUSTIN ROCA
6413020;AGUSTINA
6413030;BALNEARIO LAGUNA DE GOMEZ
6413040;FORTIN TIBURCIO
6413050;JUNIN
6413055;LA AGRARIA
6413060;LAPLACETTE
6413070;MORSE
6413080;SAFORCADA
6420000;ZONA RURAL
6420010;LAS TONINAS
6420020;MAR DE AJO - SAN BERNARDO
6420030;SAN CLEMENTE DEL TUYU
6420040;SANTA TERESITA - MAR DEL TUYU
6427000;ZONA RURAL
6427010;LA MATANZA
6434010;LANUS
6441000;ZONA RURAL
6441010;COUNTRY CLUB EL RODEO
6441020;IGNACIO CORREAS
6441030;LA PLATA
6441040;LOMAS DE COPELLO
6441050;RUTA SOL
6448000;ZONA RURAL
6448010;LAPRIDA
6448020;PUEBLO NUEVO
6448030;PUEBLO SAN JORGE
6455000;ZONA RURAL
6455010;CORONEL BOERR
6455020;EL TRIGO
6455030;LAS FLORES
6455040;PARDO
6462000;ZONA RURAL
6462010;ALBERDI VIEJO
6462020;EL DORADO
6462030;FORTIN ACHA
6462040;JUAN BAUTISTA ALBERDI
6462050;LEANDRO N. ALEM
6462060;VEDIA
6469000;ZONA RURAL
6469010;ARENAZA
6469020;BAYAUCA
6469030;BERMUDEZ
6469040;CARLOS SALAS
6469050;CORONEL MARTINEZ DE HOZ
6469060;EL TRIUNFO
6469070;LAS TOSCAS
6469080;LINCOLN
6469090;PASTEUR
6469100;ROBERTS
6469110;TRIUNVIRATO
6476000;ZONA RURAL
6476010;ARENAS VERDES
6476020;LICENCIADO MATIENZO
6476030;LOBERIA
6476040;PIERES
6476050;SAN MANUEL
6476060;TAMANGUEYU
6483000;ZONA RURAL
6483010;ANTONIO CARBONI
6483020;ELVIRA
6483030;LAGUNA DE LOBOS
6483040;LOBOS
6483050;SALVADOR MARIA
6490010;LOMAS DE ZAMORA
6497000;ZONA RURAL
6497020;CARLOS KEEN
6497025;CLUB DE CAMPO LOS PUENTES
6497060;LUJAN
6497070;OLIVERA
6497090;TORRES
6505000;ZONA RURAL
6505010;ATALAYA
6505020;GENERAL MANSILLA
6505030;LOS NARANJOS
6505040;MAGDALENA
6505050;ROBERTO J PAYRO
6505060;VIEYTES
6511000;ZONA RURAL
6511010;LAS ARMAS
6511020;MAIPU
6511030;SANTO DOMINGO
6515010;MALVINAS ARGENTINAS
6518000;ZONA RURAL
6518010;CORONEL VIDAL
6518020;GENERAL PIRAN
6518030;LA ARMONIA
6518040;MAR CHIQUITA
6518050;MAR DE COBO
6518060;SANTA CLARA DEL MAR
6518070;VIVORATA
6525000;ZONA RURAL
6525010;BARRIO SANTA ROSA
6525020;MARCOS PAZ
6532000;ZONA RURAL
6532005;GOLDNEY
6532010;GOWLAND
6532020;MERCEDES
6532030;JORGE BORN
6539000;ZONA RURAL
6539010;MERLO
6547000;ZONA RURAL
6547010;ABBOTT
6547020;SAN MIGUEL DEL MONTE
6547030;ZENON VIDELA DORNA
6553000;ZONA RURAL
6553010;BALNEARIO SAUCE GRANDE
6553020;MONTE HERMOSO
6560010;MORENO
6568010;MORON
6574000;ZONA RURAL
6574010;JOSE JUAN ALMEYRA
6574020;LAS MARIANAS
6574030;NAVARRO
6574040;VILLA MOLL
6581000;ZONA RURAL
6581010;CLARAZ
6581025;ENERGIA
6581030;JUAN N. FERNANDEZ
6581040;NECOCHEA - QUEQUEN
6581050;NICANOR OLIVERA
6581060;RAMON SANTAMARINA
6588000;ZONA RURAL
6588010;ALFREDO DEMARCHI
6588020;CARLOS MARIA NAON
6588030;12 DE OCTUBRE
6588040;DUDIGNAC
6588050;LA AURORA
6588060;MANUEL B. GONNET
6588070;MARCELINO UGARTE
6588080;MOREA
6588090;NORUMBEGA
6588100;9 DE JULIO
6588110;PATRICIOS
6588120;VILLA FOURNIER
6595000;ZONA RURAL
6595010;BLANCAGRANDE
6595030;COLONIA NIEVAS
6595040;COLONIA SAN MIGUEL
6595050;ESPIGAS
6595060;HINOJO
6595070;OLAVARRIA
6595080;RECALDE
6595090;SANTA LUISA
6595100;SIERRA CHICA
6595110;SIERRAS BAYAS
6595120;VILLA ALFREDO FORTABAT
6595130;VILLA LA SERRANIA
6602000;ZONA RURAL
6602010;BAHIA SAN BLAS
6602020;CARDENAL CAGLIERO
6602030;CARMEN DE PATAGONES
6602040;JOSE B. CASAS
6602050;JUAN A. PRADERE
6602060;STROEDER
6602070;VILLALONGA
6609000;ZONA RURAL
6609010;CAPITAN CASTRO
6609020;SAN ESTEBAN
6609030;FRANCISCO MADERO
6609035;INOCENCIO SOSA
6609040;JUAN JOSE PASO
6609050;MAGDALA
6609060;MONES CAZON
